[Load Data] Load data from newsCorpora.csv
[Pre-Process] Did not find vocab.json
[Pre-Process] Now generating vocab.json
Max length of title: 14
Generating BOW representation...
[Pre-Process] Save BOW to local files
Accuracy: 0.754, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.404, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.390, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.404, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.390, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.404, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.390, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.386, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.340, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.386, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.340, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.386, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.340, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.428, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.442, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.428, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.442, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.428, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.442, Parameters: {'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 100}
